review,tanggal komentar
"Yg didebatin semua hanyalah masalah gengsi, belilah sesuai kebutuhan dan kemampuan, jangan pusing sendiri mikirin gengsi",2024-05-06 12:51:37
"Yg beli LCGC Alhamdulillah, yg beli Avanza Alhamdulillah, yg beli CRV Alhamdulillah, yg beli Fortuner dan Pajero semuanya Alhamdulillah, sesuai isi kantong saja jangan dipaksakan sampai menimbulkan utang demi gengsi.",2024-05-06 12:51:37
Lcgc bukan masalah murahnya tapi karena usernya bikin ulah mulu  ga tau kenapa,2024-05-06 12:51:37
"Yang penting gak kehujanan, gak kepanasan",2024-05-06 12:51:37
"Poin pertama oke sih om. Memang gak semuanya. Tapi buanyak. Parkir sembarangan, disalip gak mau, trus keluar mobil lagaknya belagu parah, di cafe klo mesen manggil pelayan bukannya pergi ke counter padahal cafe kecil, gak mau antri. Dan orang seperti itu kalau saya kepoin selalu mobilnya LCGC. Mobil boleh murah, tapi atitude tetap harus dijaga yaa",2023-05-06 12:51:37
"Bukan masalah mobilnya menurut saya... Tapi krn banyak buat taxi online, sehingga banyak lihat HP, jadi nyupirnya fokus terpecah ke HP... Jadi imagenya jadi begitu",2025-05-06 12:51:37
Saya punya Datsun go bersyukur sekali kenapa minder ndak perlu ngurusi orang mencibir.. paling yg mencibir orang yg tidak punya mobil/tetangga yg sirik dan iri😂😂😂,2025-05-06 12:51:37
"Di jepang orang pake key car, disini LCGC di hujat😂",2025-05-06 12:51:37
"Reputasi mobil tersebut tercoreng, hanya karna attitude pengemudinya saja",2026-02-06 12:51:37
Yg sruntulan itu biasanya mobil online. Kalao pribadi ya hati2 bawa nya,2025-05-06 12:51:37
Ketika bawa Galant disegani..  Ketika bawa Karimun wagon dibully..   Perbedaan yang cukup terasa 😢😢😢,2025-05-06 12:51:37
Ya gak 😅😅😅 saya mobil pertama WRV RS Honda Sensing 😅😅 Tapi Pernah Pegang Mobil Punya adek,2026-02-06 12:51:37
"Drpd mobil ex taxi atau mobil tua, mbending lcgc, gk bikin pusing jajan terus, hujan g kepanasan, panas g kehujanan..",2025-06-06 12:51:37
Ah santai aja...aku aja dari dulu pake karimun kotak...rilex aja....😂😂,2025-05-06 12:51:37
"Walau di bilang mobil murah, mobil jelek. Tp sy suka lcgc. Desain compact pas dgn luas garasi di perumahan. di sesuaikan aja dgn selera masing2",2025-05-06 12:51:37
Ketika itu saya ada uang CASH 197 JUTA. Daripada uang segitu buat DP/uang muka Pajero dan kedepannya harus NGREDIT/NYICIL haha amit amit. Mending dibeliin CASH aja lah gppa LCGC juga. Yg penting CASH. Daripada mobil mahal KREDIT??? 🙏🏼,2023-05-06 12:51:37
Intiya funsiya  bukn gensih,2025-06-06 12:51:37
Padahal yg nyinyir admin nya 😂😂,2025-08-06 12:51:37
"Kalau menurutku bg ya.. Ya aku pribadi juga suka sama mobil LCGC tapi aku pengguna SUV. Gini bang,, LCGC memang mobil murah, apalagi yg hobinya modif tipis². Ooh idaman kali aku tu.. contoh velg.., harganya jauh lebih murah dari SUV gitu juga interiornya.. Kalau kita bicara tentang sombong pengguna LCGC (OKB) dan berkendara udah kayak dia yg punya jalur. Siapapun dbelakangnya mau itu SUV Hatchback dan bahkan TANK sekalipun pengen aktifkan rudalnya agar LCGCnya minggir dikit 😂😂😂😂 Itu prinsipku ya bg...",2025-06-06 12:51:37
"Masih punya Calya generasi awal, mau ditukar tambah yg baru",2024-05-06 12:51:37
"Kelebihan bawa lcgc adalah tidak merasa lebih baik dibanding yang lain, membantu tetap sabar dan tidak arogan dalam perjalanan.",2024-05-06 12:51:39
Mbil alphard tapi korup ya percuma,2024-05-06 12:51:39
keren ya video nya a,2023-05-06 12:51:39
"konten yg begini nih yg bikin suami perumahan pusing gara2 istrinya minta di beliin mobil kayak yg punya tetangga sebelah,klo yg kelas atas /pejabat korupsi utk demi keinginan/ gengsi istri",2025-05-06 12:51:39
Bener semua om 😂,2023-05-06 12:51:39
Mendingan lcgc yg pnting gak  basah ke ujanan  bensin irit,2023-05-06 12:51:39
"ya...ketimbang kpanasan.....,,cakk",2023-05-06 12:51:39
Mobil org miskin yg memaksakan diri agar kelihatan kaya... Tpi tetap aja miskin,2025-08-06 12:51:39
"Yg pakai LCGC itu orang yg maksa mau pakai mobil. tujuannya bisa utk cari makan atau yg mau terlihat KAYA ! tapi rata2 yg pakai lcgc gw perhatikan kebanyakan mobil pertama mrk. jadi ga mau tau kualitas itu mobil. Ibarat di dunia motor, ini mobil seperti Supra batok getar atau Mio jadul. Alay2 gitu dahh....",2025-05-06 12:51:39
Orang kaya seperti om mobi aja dulu nya pernah jadi supir taxi online pk ayla kok,2024-05-06 12:51:39
